FlashCards,
LX0-103,
Question,Answer
split,split a file into pieces
wc,"print newline, word, and byte counts for each file"
sort,sort lines of text files
expand,convert tabs to spaces
od,dump files in octal and other formats
join,join lines of two files on a common field
cut,remove sections from each line of files
uname,print system information
tee,read from standard input and write to standard output and files
nice,run a program with modified scheduling priority
renice,alter priority of running processes
free,Display amount of free and used memory in the system
pkill,look up or signal processes based on name and other attributes
killall,sends  a  signal to all processes running any of the specified commands
ldd,can be used to show you the shared libraries required by any given program
du,estimate file space usage
df,report file system disk space usage
fsck,check and repair a Linux filesystem
tune2fs,"adjust tunable filesystem parameters on ext2, ext3, ext4 filesystems"
modprobe,Add and remove modules from the Linux Kernel
fdisk,manipulate disk partition table
parted,a partition manipulation program
mkfs,build a Linux filesystem
mkdir,make directories
mv,move (rename) files
gzip,compress or expand files
gunzip,compress or expand files
dd,convert and copy a file
umask,"bash built-in commands, see bash"
which,shows the full path of shell commands.
whereis,"locate the binary, source, and manual page files for a command"
type,"bash built-in commands, see bash"
chattr,change file attributes on a Linux file system
updatedb,creates or updates a database used by locate.
locate,reads one or more databases prepared by updatedb and writes file names matching at least one of the patterns to standard output
dmesg,print or control the kernel ring buffer
newgrp,log in to a new group
useradd,create a new user or update default new user information
passwd,update user's authentication tokens
chage,change user password expiry information
userdel,delete a user account and related files
groupadd,create a new group
ifconfig,used  to  configure  the  kernel-resident network interfaces
ifup,bring a network interface up
ip,"show / manipulate routing, devices, policy routing and tunnels"
route,route traffic control filter
date,print or set the system date and time
cat,concatenate files and print on the standard output
lspci,list all PCI devices
lsusb,list USB devices
pwd,print name of current/working directory
rm,remove files or directories
rmdir,remove empty directories
cp,copy files and directories
ls,list directory contents
ln,make links between files
less,opposite of more
head,output the first part of files
tail,output the last part of files
ps,report a snapshot of the current processes.
bg,TODO
fb,TODO
kill,terminate a process
chmod,change file mode bits
chown,change file owner and group
chgrp,change group ownership
tar,saves many files together into a single tape or disk archive
cpio,copy files to and from archives
grep,print lines matching a pattern
sed,stream editor for filtering and transforming text